Movie Title,Released Year,Duration,Restrticted Rating,Rating (Star out of 10),User Vote,Director (1),Director (2),Director (3),Starring (1),Starring (2),Starring (3),Synopsis
 Before Sunset,2004,1h 20m,R,8.1, 289K,Richard Linklater,,,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
 The Best Years of Our Lives,1946,2h 50m,Approved,8.1, 71K,William Wyler,,,Myrna Loy,Dana Andrews,Fredric March,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
 Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1, 1.2M,Gore Verbinski,,,Johnny Depp,Geoffrey Rush,Orlando Bloom,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
 The Exorcist,1973,2h 2m,R,8.1, 457K,William Friedkin,,,Ellen Burstyn,Max von Sydow,Linda Blair,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life."
 Jai Bhim,2021,2h 44m,Approved,8.7, 218K,T.J. Gnanavel,,,Suriya,Lijo Mol Jose,Manikandan K.,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
 Rush,2013,2h 3m,R,8.1, 516K,Ron Howard,,,Daniel Brühl,Chris Hemsworth,Olivia Wilde,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
 Network,1976,2h 1m,R,8.1, 171K,Sidney Lumet,,,Faye Dunaway,William Holden,Peter Finch,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
 The Wizard of Oz,1939,1h 42m,G,8.1, 430K,Victor Fleming,King Vidor,,Judy Garland,Frank Morgan,Ray Bolger,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
 Stand by Me,1986,1h 29m,R,8.1, 444K,Rob Reiner,,,Wil Wheaton,River Phoenix,Corey Feldman,A writer recounts a childhood journey with his friends to find the body of a missing boy.
 The Incredibles,2004,1h 55m,PG,8.0, 813K,Brad Bird,,,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
 Hachi: A Dog's Tale,2009,1h 33m,G,8.1, 313K,Lasse Hallström,,,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds."
 My Father and My Son,2005,1h 52m,Not Rated,8.2, 93K,Çagan Irmak,,,Çetin Tekindor,Fikret Kuskan,Hümeyra,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
 The Handmaiden,2016,2h 25m,Not Rated,8.1, 174K,Park Chan-wook,,,Kim Min-hee,Ha Jung-woo,Cho Jin-woong,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
 Into the Wild,1965,2h 52m,G,8.1, 262K,Sean Penn,,,Emile Hirsch,Vince Vaughn,Catherine Keener,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
 The Sound of Music,2007,2h 28m,R,8.1, 660K,Robert Wise,,,Julie Andrews,Christopher Plummer,Eleanor Parker,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
 To Be or Not to Be,1942,1h 39m,Approved,8.1, 43K,Ernst Lubitsch,,,Carole Lombard,Jack Benny,Robert Stack,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
 The Battle of Algiers,1966,2h 1m,Not Rated,8.1, 66K,Gillo Pontecorvo,,,Brahim Hadjadj,Jean Martin,Yacef Saadi,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
 The Grapes of Wrath,1940,2h 9m,Approved,8.1, 100K,John Ford,,,Henry Fonda,Jane Darwell,John Carradine,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
 Groundhog Day,1993,1h 41m,PG,8.0, 688K,Harold Ramis,,,Bill Murray,Andie MacDowell,Chris Elliott,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day."
 Amores Perros,2000,2h 34m,R,8.1, 254K,Alejandro G. Iñárritu,,,Emilio Echevarría,Gael García Bernal,Goya Toledo,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City."
 The Iron Giant,1999,1h 26m,PG,8.1, 229K,Brad Bird,,,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
 Rebecca,1940,2h 10m,Approved,8.1, 147K,Alfred Hitchcock,,,Laurence Olivier,Joan Fontaine,George Sanders,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
 Cool Hand Luke,1967,2h 7m,Approved,8.1, 189K,Stuart Rosenberg,,,Paul Newman,George Kennedy,Strother Martin,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
 The Help,2011,2h 26m,PG-13,8.1, 495K,Tate Taylor,,,Viola Davis,Emma Stone,Octavia Spencer,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
 It Happened One Night,1934,1h 45m,Approved,8.1, 113K,Frank Capra,,,Clark Gable,Claudette Colbert,Walter Connolly,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.
 Drishyam,2015,2h 43m,Not Rated,8.2, 95K,Nishikant Kamat,,,Ajay Devgn,Shriya Saran,Tabu,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
 Dances with Wolves,1990,3h 1m,PG-13,8.0, 292K,Kevin Costner,,,Kevin Costner,Mary McDonnell,Graham Greene,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
 Aladdin,1992,1h 30m,G,8.0, 470K,Ron Clements,John Musker,,Scott Weinger,Robin Williams,Linda Larkin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
 Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2, 104K,Anurag Kashyap,,,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
