Movie Title,Released Year,Duration,Restrticted Rating,Rating (Star out of 10),User Vote,Director (1),Director (2),Director (3),Starring (1),Starring (2),Starring (3),Synopsis
 Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6, 378K,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
 The Lion King,1994,1h 28m,G,8.5, 1.1M,Roger Allers,Rob Minkoff,,Matthew Broderick,Jeremy Irons,James Earl Jones,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
 The Departed,2006,2h 31m,R,8.5, 1.4M,Martin Scorsese,,,Leonardo DiCaprio,Matt Damon,Jack Nicholson,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
 Léon: The Professional,1994,1h 50m,R,8.5, 1.3M,Luc Besson,,,Jean Reno,Gary Oldman,Natalie Portman,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
 American History X,1998,1h 59m,R,8.5, 1.2M,Tony Kaye,,,Edward Norton,Edward Furlong,Beverly D'Angelo,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
 Whiplash,2014,1h 46m,R,8.5, 998K,Damien Chazelle,,,Miles Teller,J.K. Simmons,Melissa Benoist,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
 The Prestige,2006,2h 10m,PG-13,8.5, 1.4M,Christopher Nolan,,,Christian Bale,Hugh Jackman,Scarlett Johansson,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
 Grave of the Fireflies,1988,1h 29m,Not Rated,8.5, 313K,Isao Takahata,,,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,A young boy and his little sister struggle to survive in Japan during World War II.
 Harakiri,1962,2h 13m,Not Rated,8.6, 70K,Masaki Kobayashi,,,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
 The Usual Suspects,1995,1h 46m,R,8.5, 1.1M,Bryan Singer,,,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
 Casablanca,1942,1h 42m,PG,8.5, 608K,Michael Curtiz,,,Humphrey Bogart,Ingrid Bergman,Paul Henreid,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
 The Intouchables,2011,1h 52m,R,8.5, 934K,Olivier Nakache,Éric Toledano,,François Cluzet,Omar Sy,Anne Le Ny,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
 Cinema Paradiso,1988,2h 54m,PG,8.5, 284K,Giuseppe Tornatore,,,Philippe Noiret,Enzo Cannavale,Antonella Attili,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
 Modern Times,1936,1h 27m,G,8.5, 261K,Charles Chaplin,,,Charles Chaplin,Paulette Goddard,Henry Bergman,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
 Rear Window,1954,1h 52m,PG,8.5, 525K,Alfred Hitchcock,,,James Stewart,Grace Kelly,Wendell Corey,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder."
 Once Upon a Time in the West,1968,2h 46m,PG-13,8.5, 350K,Sergio Leone,,,Henry Fonda,Charles Bronson,Claudia Cardinale,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
 Alien,1979,1h 57m,R,8.5, 956K,Ridley Scott,,,Sigourney Weaver,Tom Skerritt,John Hurt,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.
 City Lights,1931,1h 27m,G,8.5, 197K,Charles Chaplin,,,Charles Chaplin,Virginia Cherrill,Florence Lee,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
 Django Unchained,2012,2h 45m,R,8.5, 1.7M,Quentin Tarantino,,,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
 Apocalypse Now,1979,2h 27m,R,8.4, 713K,Francis Ford Coppola,,,Martin Sheen,Marlon Brando,Robert Duvall,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
 Memento,2000,1h 53m,R,8.4, 1.3M,Christopher Nolan,,,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,A man with short-term memory loss attempts to track down his wife's murderer.
 WALL·E,2008,1h 38m,G,8.4, 1.2M,Andrew Stanton,,,Ben Burtt,Elissa Knight,Jeff Garlin,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
 12th Fail,2023,2h 27m,,8.9, 118K,Vidhu Vinod Chopra,,,Vikrant Massey,Medha Shankr,Anant Joshi,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
 Raiders of the Lost Ark,1981,1h 55m,PG,8.4, 1M,Steven Spielberg,,,Harrison Ford,Karen Allen,Paul Freeman,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
 The Lives of Others,2006,2h 17m,R,8.4, 412K,Florian Henckel von Donnersmarck,,,Ulrich Mühe,Martina Gedeck,Sebastian Koch,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
 Sunset Boulevard,1950,1h 50m,Approved,8.4, 237K,Billy Wilder,,,William Holden,Gloria Swanson,Erich von Stroheim,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
 Avengers: Infinity War,2018,2h 29m,PG-13,8.4, 1.2M,Anthony Russo,Joe Russo,,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
 Paths of Glory,1957,1h 28m,Approved,8.4, 214K,Stanley Kubrick,,,Kirk Douglas,Ralph Meeker,Adolphe Menjou,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them."
 Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4, 677K,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,Hailee Steinfeld,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
 Witness for the Prosecution,1957,1h 56m,Approved,8.4, 139K,Billy Wilder,,,Tyrone Power,Marlene Dietrich,Charles Laughton,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
